message_id,channel_name,image_path,detected_objects,confidence_score,image_category
25579,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25579.jpg,"bottle,cup,dining table",0.5716,product_display
25580,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25580.jpg,bottle,0.8544,product_display
25581,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25581.jpg,"bottle,cup",0.8224,product_display
25582,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25582.jpg,bottle,0.5305,product_display
25583,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25583.jpg,"bottle,bottle",0.3202,product_display
25584,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25584.jpg,"bottle,bottle",0.8954,product_display
25585,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25585.jpg,bottle,0.677,product_display
25586,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25586.jpg,"bottle,book",0.9068,product_display
25587,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25587.jpg,bottle,0.9269,product_display
25588,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25588.jpg,"person,person,person",0.7457,lifestyle
25589,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25589.jpg,"book,bottle,refrigerator,bottle",0.2932,product_display
25590,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25590.jpg,refrigerator,0.3814,other
25591,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25591.jpg,,0.0,other
25592,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25592.jpg,,0.0,other
25593,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25593.jpg,,0.0,other
25594,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25594.jpg,bottle,0.2725,product_display
25595,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25595.jpg,"book,cup",0.286,product_display
25596,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25596.jpg,"cup,bottle",0.4486,product_display
25597,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25597.jpg,,0.0,other
25598,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25598.jpg,,0.0,other
25599,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25599.jpg,,0.0,other
25601,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25601.jpg,bottle,0.8124,product_display
25602,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25602.jpg,bottle,0.8619,product_display
25603,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25603.jpg,,0.0,other
25604,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25604.jpg,,0.0,other
25605,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25605.jpg,bottle,0.2725,product_display
25606,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25606.jpg,,0.0,other
25607,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25607.jpg,,0.0,other
25608,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25608.jpg,,0.0,other
25609,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25609.jpg,bottle,0.8076,product_display
25610,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25610.jpg,bottle,0.7326,product_display
25611,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25611.jpg,"person,book",0.4573,lifestyle
25612,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25612.jpg,bottle,0.5939,product_display
25613,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25613.jpg,bottle,0.8076,product_display
25614,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25614.jpg,bottle,0.3294,product_display
25615,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25615.jpg,"bottle,bottle,dining table,bottle,bottle,cup,bottle,bottle,bottle,bottle,bottle,bottle",0.5097,product_display
25616,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25616.jpg,person,0.3117,lifestyle
25617,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25617.jpg,"book,cup",0.3382,product_display
25618,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25618.jpg,"bottle,dining table,bottle,bottle",0.8742,product_display
25619,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25619.jpg,,0.0,other
25620,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25620.jpg,,0.0,other
25621,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25621.jpg,,0.0,other
25622,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25622.jpg,"traffic light,bottle",0.3134,product_display
25623,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25623.jpg,"person,book",0.4573,lifestyle
25624,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25624.jpg,bottle,0.5939,product_display
25625,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25625.jpg,bottle,0.744,product_display
25626,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25626.jpg,"bottle,person,person,orange,orange,person,orange",0.9345,promotional
25627,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25627.jpg,,0.0,other
25629,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25629.jpg,bottle,0.9376,product_display
25630,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25630.jpg,bottle,0.9479,product_display
25631,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25631.jpg,bottle,0.5597,product_display
25632,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25632.jpg,bottle,0.7887,product_display
25633,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25633.jpg,bottle,0.6146,product_display
25634,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25634.jpg,"person,person,person",0.8894,lifestyle
25635,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25635.jpg,"person,person",0.7035,lifestyle
25636,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25636.jpg,,0.0,other
25637,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25637.jpg,clock,0.3287,other
25640,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25640.jpg,"person,person,person,person,person,bottle,person",0.8786,promotional
25641,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25641.jpg,"cup,cup,book",0.7179,product_display
25642,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25642.jpg,"bottle,fire hydrant",0.7639,product_display
25643,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25643.jpg,person,0.8004,lifestyle
25644,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25644.jpg,"bottle,dining table,bottle,bottle",0.8742,product_display
25645,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25645.jpg,"bottle,refrigerator",0.6852,product_display
25646,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25646.jpg,bottle,0.9034,product_display
25647,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25647.jpg,bottle,0.9,product_display
25648,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25648.jpg,bottle,0.6115,product_display
25649,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\25649.jpg,,0.0,other
